month,year,n
5,2011,20
6,2011,44
7,2011,90
8,2011,132
9,2011,100
10,2011,110
11,2011,203
12,2011,111
1,2012,208
2,2012,95
3,2012,141
4,2012,132
5,2012,199
6,2012,63
7,2012,263
8,2012,182
9,2012,115
10,2012,130
11,2012,153
12,2012,123
1,2013,64
2,2013,83
3,2013,35
4,2013,70
5,2013,42
6,2013,34
7,2013,82
8,2013,276
9,2013,900
10,2013,788
11,2013,348
12,2013,944
1,2014,662
2,2014,368
3,2014,178
4,2014,310
5,2014,311
6,2014,236
7,2014,104
8,2014,314
9,2014,158
10,2014,295
11,2014,215
12,2014,22
1,2015,263
2,2015,65
3,2015,25
4,2015,61
5,2015,127
6,2015,215
7,2015,106
8,2015,6
9,2015,106
10,2015,110
11,2015,214
12,2015,17
1,2016,107
2,2016,109
3,2016,101
4,2016,60
6,2016,110
8,2016,115
9,2016,393
10,2016,326
11,2016,227
12,2016,156
