tissue,Sept-2015,Sept-2016,Oct-2015,Oct-2016,Nov-2015,Nov-2016,Dec-2016,Dec-2015
Adipose Tissue,5,36,4,20,15,16,15,0
Adrenal Gland,4,5,1,5,2,6,2,0
Blood,2,0,6,0,33,0,0,17
Blood Vessel,9,24,7,26,9,17,12,0
Brain,12,2,3,9,17,24,9,0
Breast,9,19,7,20,5,8,3,0
Colon,3,22,6,22,11,12,9,0
Esophagus,5,38,6,24,7,8,7,0
Heart,2,16,6,20,15,8,5,0
Kidney,1,3,5,2,0,1,3,0
Liver,1,7,2,2,6,2,4,0
Lung,5,14,7,11,11,5,6,0
Muscle,7,26,5,26,9,15,13,0
Nerve,6,20,5,22,11,12,5,0
Ovary,0,7,2,5,0,1,4,0
Pancreas,4,17,3,5,4,6,4,0
Pituitary,3,8,2,9,6,4,4,0
Prostate,2,9,3,9,3,5,3,0
Salivary Gland,4,9,3,10,3,4,5,0
Skin,4,31,7,25,11,23,16,0
Small Intestine,2,7,0,9,1,7,1,0
Spleen,0,9,2,8,3,9,8,0
Stomach,3,14,6,4,7,7,4,0
Testis,3,19,5,12,6,3,4,0
Thyroid,6,23,6,13,14,19,7,0
Uterus,1,3,0,4,2,3,2,0
Vagina,3,5,1,4,3,2,1,0
