tissue,2011,2012,2013,2014,2015,2016,2017
Adipose Tissue,56,107,243,206,84,134,2
Adrenal Gland,28,41,84,65,20,31,0
Bladder,2,18,0,1,0,0,0
Blood,73,155,330,223,178,0,0
Blood Vessel,62,115,229,205,76,121,0
Bone Marrow,1,0,0,0,0,0,0
Brain,15,26,99,63,57,76,2
Breast,7,65,144,118,58,78,1
Cervix Uteri,5,8,1,0,0,0,0
Colon,33,68,162,154,55,98,0
Esophagus,55,110,203,198,70,104,2
Fallopian Tube,2,7,0,0,0,0,0
Heart,45,77,169,160,62,75,1
Kidney,7,11,23,27,13,16,1
Liver,15,35,76,68,21,27,0
Lung,52,104,178,149,63,60,2
Muscle,59,110,258,217,74,126,0
Nerve,46,83,187,166,74,96,0
Ovary,15,34,57,45,15,25,0
Pancreas,32,56,97,90,29,42,3
Pituitary,9,17,84,95,36,53,2
Prostate,19,43,54,67,28,41,0
Salivary Gland,0,12,55,43,32,33,2
Skin,12,179,288,243,63,154,1
Small Intestine,0,22,81,45,10,33,2
Spleen,24,30,69,65,15,49,3
Stomach,35,65,98,86,40,47,1
Testis,28,60,102,108,43,58,1
Thyroid,42,94,195,192,71,92,1
Uterus,14,26,48,34,13,18,1
Vagina,17,26,52,40,15,17,0
